timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1643794492439,17,Novo-0,301,Moved Permanently,Thread Group 1-6,text,true,,358,128,30,30,http://www.cityfashion.mk/novo/,17,0,0
1643794492456,10511,Novo-1,200,OK,Thread Group 1-6,text,true,,383787,124,30,30,https://cityfashion.mk/novo/,10344,0,0
1643794492945,11062,Novo,200,OK,Thread Group 1-2,text,true,,384145,252,30,30,https://cityfashion.mk/novo/,26,0,0
1643794492945,26,Novo-0,301,Moved Permanently,Thread Group 1-2,text,true,,358,128,30,30,http://www.cityfashion.mk/novo/,26,0,0
1643794492971,11036,Novo-1,200,OK,Thread Group 1-2,text,true,,383787,124,30,30,https://cityfashion.mk/novo/,10948,0,0
1643794493185,11845,Mazi,200,OK,Thread Group 1-17,text,true,,392946,286,30,30,https://cityfashion.mk/product-category/mazi/,25,0,0
1643794493185,25,Mazi-0,301,Moved Permanently,Thread Group 1-17,text,true,,375,145,30,30,http://www.cityfashion.mk/product-category/mazi/,25,0,0
1643794493211,11819,Mazi-1,200,OK,Thread Group 1-17,text,true,,392571,141,30,30,https://cityfashion.mk/product-category/mazi/,11723,0,0
1643794493760,11905,Novo,200,OK,Thread Group 1-26,text,true,,384105,252,30,30,https://cityfashion.mk/novo/,22,0,0
1643794493760,22,Novo-0,301,Moved Permanently,Thread Group 1-26,text,true,,358,128,30,30,http://www.cityfashion.mk/novo/,22,0,0
1643794493782,11883,Novo-1,200,OK,Thread Group 1-26,text,true,,383747,124,30,30,https://cityfashion.mk/novo/,11787,0,0
1643794493681,12131,Novo,200,OK,Thread Group 1-11,text,true,,384026,252,30,30,https://cityfashion.mk/novo/,32,0,0
1643794493681,32,Novo-0,301,Moved Permanently,Thread Group 1-11,text,true,,358,128,30,30,http://www.cityfashion.mk/novo/,32,0,0
1643794493713,12099,Novo-1,200,OK,Thread Group 1-11,text,true,,383668,124,30,30,https://cityfashion.mk/novo/,11960,0,0
1643794494008,12156,Novo,200,OK,Thread Group 1-18,text,true,,384114,252,30,30,https://cityfashion.mk/novo/,23,0,0
1643794494008,23,Novo-0,301,Moved Permanently,Thread Group 1-18,text,true,,358,128,30,30,http://www.cityfashion.mk/novo/,23,0,0
1643794494031,12133,Novo-1,200,OK,Thread Group 1-18,text,true,,383756,124,30,30,https://cityfashion.mk/novo/,11960,0,0
1643794495019,11343,Novo,200,OK,Thread Group 1-8,text,true,,384145,252,30,30,https://cityfashion.mk/novo/,22,0,0
1643794495019,22,Novo-0,301,Moved Permanently,Thread Group 1-8,text,true,,358,128,30,30,http://www.cityfashion.mk/novo/,22,0,0
1643794495041,11321,Novo-1,200,OK,Thread Group 1-8,text,true,,383787,124,30,30,https://cityfashion.mk/novo/,11222,0,0
1643794494827,11677,Mazi,200,OK,Thread Group 1-22,text,true,,392931,286,30,30,https://cityfashion.mk/product-category/mazi/,24,0,0
1643794494827,24,Mazi-0,301,Moved Permanently,Thread Group 1-22,text,true,,375,145,30,30,http://www.cityfashion.mk/product-category/mazi/,24,0,0
1643794494851,11653,Mazi-1,200,OK,Thread Group 1-22,text,true,,392556,141,30,30,https://cityfashion.mk/product-category/mazi/,11525,0,0
1643794495245,11279,Mazi,200,OK,Thread Group 1-29,text,true,,392962,286,30,30,https://cityfashion.mk/product-category/mazi/,27,0,0
1643794495245,27,Mazi-0,301,Moved Permanently,Thread Group 1-29,text,true,,375,145,30,30,http://www.cityfashion.mk/product-category/mazi/,27,0,0
1643794495273,11251,Mazi-1,200,OK,Thread Group 1-29,text,true,,392587,141,30,30,https://cityfashion.mk/product-category/mazi/,11124,0,0
1643794495574,12156,Mazi,200,OK,Thread Group 1-27,text,true,,392954,286,30,30,https://cityfashion.mk/product-category/mazi/,24,0,0
1643794495574,24,Mazi-0,301,Moved Permanently,Thread Group 1-27,text,true,,375,145,30,30,http://www.cityfashion.mk/product-category/mazi/,24,0,0
1643794495598,12132,Mazi-1,200,OK,Thread Group 1-27,text,true,,392579,141,30,30,https://cityfashion.mk/product-category/mazi/,12026,0,0
1643794496382,12411,Mazi,200,OK,Thread Group 1-30,text,true,,392820,286,30,30,https://cityfashion.mk/product-category/mazi/,21,0,0
1643794496382,21,Mazi-0,301,Moved Permanently,Thread Group 1-30,text,true,,375,145,30,30,http://www.cityfashion.mk/product-category/mazi/,21,0,0
1643794496403,12390,Mazi-1,200,OK,Thread Group 1-30,text,true,,392445,141,30,30,https://cityfashion.mk/product-category/mazi/,12251,0,0
1643794496037,12964,Mazi,200,OK,Thread Group 1-19,text,true,,392859,286,30,30,https://cityfashion.mk/product-category/mazi/,29,0,0
1643794496037,29,Mazi-0,301,Moved Permanently,Thread Group 1-19,text,true,,375,145,30,30,http://www.cityfashion.mk/product-category/mazi/,29,0,0
1643794496066,12935,Mazi-1,200,OK,Thread Group 1-19,text,true,,392484,141,30,30,https://cityfashion.mk/product-category/mazi/,12775,0,0
1643794496767,12349,Mazi,200,OK,Thread Group 1-12,text,true,,392875,286,30,30,https://cityfashion.mk/product-category/mazi/,27,0,0
1643794496767,27,Mazi-0,301,Moved Permanently,Thread Group 1-12,text,true,,375,145,30,30,http://www.cityfashion.mk/product-category/mazi/,27,0,0
1643794496794,12322,Mazi-1,200,OK,Thread Group 1-12,text,true,,392500,141,30,30,https://cityfashion.mk/product-category/mazi/,12210,0,0
1643794498387,11253,Mazi,200,OK,Thread Group 1-28,text,true,,392954,286,30,30,https://cityfashion.mk/product-category/mazi/,14,0,0
1643794498387,15,Mazi-0,301,Moved Permanently,Thread Group 1-28,text,true,,375,145,30,30,http://www.cityfashion.mk/product-category/mazi/,14,0,0
1643794498402,11238,Mazi-1,200,OK,Thread Group 1-28,text,true,,392579,141,30,30,https://cityfashion.mk/product-category/mazi/,11140,0,0
1643794496797,13324,Mazi,200,OK,Thread Group 1-20,text,true,,392851,286,30,30,https://cityfashion.mk/product-category/mazi/,25,0,0
1643794496797,25,Mazi-0,301,Moved Permanently,Thread Group 1-20,text,true,,375,145,30,30,http://www.cityfashion.mk/product-category/mazi/,25,0,0
1643794496822,13299,Mazi-1,200,OK,Thread Group 1-20,text,true,,392476,141,30,30,https://cityfashion.mk/product-category/mazi/,13111,0,0
1643794498106,12087,Mazi,200,OK,Thread Group 1-23,text,true,,392962,286,30,30,https://cityfashion.mk/product-category/mazi/,12,0,0
1643794498106,12,Mazi-0,301,Moved Permanently,Thread Group 1-23,text,true,,375,145,30,30,http://www.cityfashion.mk/product-category/mazi/,12,0,0
1643794498118,12075,Mazi-1,200,OK,Thread Group 1-23,text,true,,392587,141,30,30,https://cityfashion.mk/product-category/mazi/,11947,0,0
1643794498744,11767,Mazi,200,OK,Thread Group 1-3,text,true,,392970,286,30,30,https://cityfashion.mk/product-category/mazi/,20,0,0
1643794498744,21,Mazi-0,301,Moved Permanently,Thread Group 1-3,text,true,,375,145,30,30,http://www.cityfashion.mk/product-category/mazi/,20,0,0
1643794498765,11746,Mazi-1,200,OK,Thread Group 1-3,text,true,,392595,141,30,30,https://cityfashion.mk/product-category/mazi/,11647,0,0
1643794499090,12603,Mazi,200,OK,Thread Group 1-7,text,true,,392955,286,30,30,https://cityfashion.mk/product-category/mazi/,17,0,0
1643794499090,17,Mazi-0,301,Moved Permanently,Thread Group 1-7,text,true,,375,145,30,30,http://www.cityfashion.mk/product-category/mazi/,17,0,0
1643794499107,12586,Mazi-1,200,OK,Thread Group 1-7,text,true,,392580,141,30,30,https://cityfashion.mk/product-category/mazi/,12471,0,0
1643794499285,13116,Mazi,200,OK,Thread Group 1-5,text,true,,392962,286,30,30,https://cityfashion.mk/product-category/mazi/,28,0,0
1643794499285,28,Mazi-0,301,Moved Permanently,Thread Group 1-5,text,true,,375,145,30,30,http://www.cityfashion.mk/product-category/mazi/,28,0,0
1643794499313,13088,Mazi-1,200,OK,Thread Group 1-5,text,true,,392587,141,30,30,https://cityfashion.mk/product-category/mazi/,12978,0,0
1643794499563,12897,Mazi,200,OK,Thread Group 1-15,text,true,,392938,286,30,30,https://cityfashion.mk/product-category/mazi/,11,0,0
1643794499563,11,Mazi-0,301,Moved Permanently,Thread Group 1-15,text,true,,375,145,30,30,http://www.cityfashion.mk/product-category/mazi/,11,0,0
1643794499574,12886,Mazi-1,200,OK,Thread Group 1-15,text,true,,392563,141,30,30,https://cityfashion.mk/product-category/mazi/,12752,0,0
1643794499464,13141,Mazi,200,OK,Thread Group 1-25,text,true,,392947,286,30,30,https://cityfashion.mk/product-category/mazi/,27,0,0
1643794499464,27,Mazi-0,301,Moved Permanently,Thread Group 1-25,text,true,,375,145,30,30,http://www.cityfashion.mk/product-category/mazi/,27,0,0
1643794499491,13114,Mazi-1,200,OK,Thread Group 1-25,text,true,,392572,141,30,30,https://cityfashion.mk/product-category/mazi/,12984,0,0
1643794498990,13659,Mazi,200,OK,Thread Group 1-4,text,true,,392962,286,30,30,https://cityfashion.mk/product-category/mazi/,25,0,0
1643794498990,25,Mazi-0,301,Moved Permanently,Thread Group 1-4,text,true,,375,145,30,30,http://www.cityfashion.mk/product-category/mazi/,25,0,0
1643794499015,13634,Mazi-1,200,OK,Thread Group 1-4,text,true,,392587,141,30,30,https://cityfashion.mk/product-category/mazi/,13516,0,0
1643794499944,12939,Mazi,200,OK,Thread Group 1-9,text,true,,392970,286,30,30,https://cityfashion.mk/product-category/mazi/,23,0,0
1643794499944,23,Mazi-0,301,Moved Permanently,Thread Group 1-9,text,true,,375,145,30,30,http://www.cityfashion.mk/product-category/mazi/,23,0,0
1643794499967,12916,Mazi-1,200,OK,Thread Group 1-9,text,true,,392595,141,30,30,https://cityfashion.mk/product-category/mazi/,12759,0,0
1643794500173,12987,Mazi,200,OK,Thread Group 1-16,text,true,,392970,286,30,30,https://cityfashion.mk/product-category/mazi/,26,0,0
1643794500173,26,Mazi-0,301,Moved Permanently,Thread Group 1-16,text,true,,375,145,30,30,http://www.cityfashion.mk/product-category/mazi/,26,0,0
1643794500199,12961,Mazi-1,200,OK,Thread Group 1-16,text,true,,392595,141,30,30,https://cityfashion.mk/product-category/mazi/,12842,0,0
1643794502189,11478,Mazi,200,OK,Thread Group 1-24,text,true,,392962,286,30,30,https://cityfashion.mk/product-category/mazi/,33,0,0
1643794502189,34,Mazi-0,301,Moved Permanently,Thread Group 1-24,text,true,,375,145,30,30,http://www.cityfashion.mk/product-category/mazi/,33,0,0
1643794502223,11444,Mazi-1,200,OK,Thread Group 1-24,text,true,,392587,141,30,30,https://cityfashion.mk/product-category/mazi/,11307,0,0
1643794501174,12722,Mazi,200,OK,Thread Group 1-21,text,true,,392970,286,30,30,https://cityfashion.mk/product-category/mazi/,12,0,0
1643794501174,12,Mazi-0,301,Moved Permanently,Thread Group 1-21,text,true,,375,145,30,30,http://www.cityfashion.mk/product-category/mazi/,12,0,0
1643794501186,12710,Mazi-1,200,OK,Thread Group 1-21,text,true,,392595,141,30,30,https://cityfashion.mk/product-category/mazi/,12615,0,0
1643794502336,11648,Mazi,200,OK,Thread Group 1-14,text,true,,392939,286,30,30,https://cityfashion.mk/product-category/mazi/,18,0,0
1643794502336,18,Mazi-0,301,Moved Permanently,Thread Group 1-14,text,true,,375,145,30,30,http://www.cityfashion.mk/product-category/mazi/,18,0,0
1643794502354,11630,Mazi-1,200,OK,Thread Group 1-14,text,true,,392564,141,30,30,https://cityfashion.mk/product-category/mazi/,11530,0,0
1643794502671,12555,Mazi,200,OK,Thread Group 1-13,text,true,,392962,286,30,30,https://cityfashion.mk/product-category/mazi/,28,0,0
1643794502671,28,Mazi-0,301,Moved Permanently,Thread Group 1-13,text,true,,375,145,30,30,http://www.cityfashion.mk/product-category/mazi/,28,0,0
1643794502699,12527,Mazi-1,200,OK,Thread Group 1-13,text,true,,392587,141,30,30,https://cityfashion.mk/product-category/mazi/,12419,0,0
1643794502872,12433,Mazi,200,OK,Thread Group 1-1,text,true,,392851,286,30,30,https://cityfashion.mk/product-category/mazi/,27,0,0
1643794502872,27,Mazi-0,301,Moved Permanently,Thread Group 1-1,text,true,,375,145,30,30,http://www.cityfashion.mk/product-category/mazi/,27,0,0
